"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903900","regulation of viral life cycle","9/100","115/18860",0.0782608695652174,14.76,10.8060642380795,1.0153033598835e-08,5.60182592909636e-07,3.58957366366135e-07,"TNIP1/MX1/IL32/OAS3/OAS2/OAS1/IFITM1/TNF/BST2",9
"GO:0070371","ERK1 and ERK2 cascade","13/100","331/18860",0.0392749244712991,7.40725075528701,8.58623242455878,2.13828917057276e-08,1.15467615210929e-06,7.39900732034696e-07,"INHBA/ICAM1/TNIP1/LIF/IL1B/IL1A/EDN1/PDGFB/ITGB3/TNF/S100A7/P2RY6/MIR221",13
"GO:0043410","positive regulation of MAPK cascade","15/100","474/18860",0.0316455696202532,5.96835443037975,7.99836144527808,2.89428724568582e-08,1.53035438115638e-06,9.80630218110656e-07,"INHBA/ICAM1/ZC3H12A/LIF/IL6/IL1B/C1QTNF1/EDN1/PDGFB/ADAM8/ITGB3/TNF/S100A7/S100A12/P2RY6",15
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","11/100","232/18860",0.0474137931034483,8.94224137931034,8.88683001112821,4.17043685383561e-08,2.16011606837444e-06,1.38417291926445e-06,"IL1B/BIRC3/IRAK2/IL1A/EDN1/TNFSF14/TNF/BST2/TLR2/S100A12/LTB",11
"GO:0071674","mononuclear cell migration","11/100","235/18860",0.0468085106382979,8.82808510638298,8.8162570124452,4.75601982252506e-08,2.41415566191372e-06,1.54695802648447e-06,"CCL20/SAA1/ICAM1/IL6/PDGFB/ADAM8/ITGB3/TNFSF14/TNF/S100A7/S100A12",11
"GO:0061041","regulation of wound healing","9/100","139/18860",0.0647482014388489,12.2115107913669,9.68612191465111,5.32896155752477e-08,2.65194204568586e-06,1.69932829852957e-06,"TNFAIP3/HBEGF/PLAT/C1QTNF1/EDN1/PDGFB/MYLK/TNF/MIR221",9
"GO:0050792","regulation of viral process","9/100","141/18860",0.0638297872340425,12.0382978723404,9.60535138393551,6.03061727652275e-08,2.94340512457976e-06,1.88609386482341e-06,"TNIP1/MX1/IL32/OAS3/OAS2/OAS1/IFITM1/TNF/BST2",9
"GO:0045089","positive regulation of innate immune response","14/100","432/18860",0.0324074074074074,6.11203703703704,7.84765092061669,6.52499287930158e-08,3.1246097976731e-06,2.00220734826632e-06,"S100A8/TNFAIP3/TNIP1/S100A9/BIRC3/OAS3/OAS1/IRAK2/ADAM8/IRF7/TNF/TLR2/GBP5/STAT5A",14
"GO:0070372","regulation of ERK1 and ERK2 cascade","12/100","303/18860",0.0396039603960396,7.46930693069307,8.28835034001414,7.08432509511409e-08,3.32565859423269e-06,2.13103667541351e-06,"INHBA/ICAM1/TNIP1/LIF/IL1B/IL1A/PDGFB/ITGB3/TNF/S100A7/P2RY6/MIR221",12
"GO:0002544","chronic inflammatory response","5/100","21/18860",0.238095238095238,44.9047619047619,14.697222326989,7.20690396701331e-08,3.32565859423269e-06,2.13103667541351e-06,"S100A8/TNFAIP3/S100A9/VNN1/TNF",5
"GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","8/100","103/18860",0.0776699029126214,14.6485436893204,10.140658339616,7.38585115264196e-08,3.34737325453666e-06,2.14495113361501e-06,"TNFAIP3/ICAM1/IL1B/IL1A/CSF2/TNF/IFI6/MIR221",8
"GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","7/100","71/18860",0.0985915492957746,18.5943661971831,10.8441091738773,9.59667148966906e-08,4.27304425276843e-06,2.73810848597206e-06,"INHBA/IL1B/IL1A/CSF2/BCL2A1/TNF/IFI6",7
"GO:0002687","positive regulation of leukocyte migration","9/100","152/18860",0.0592105263157895,11.1671052631579,9.18857885117759,1.15219654484285e-07,5.01426031213145e-06,3.21306962890096e-06,"CCL20/ICAM1/IL6/EDN1/ADAM8/ITGB3/TNFSF14/TNF/S100A7",9
