"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SURF1",182.218314900417,0.127618358892216,0.18515369638962,0.689256338818469,0.490661968545794,0.848970415750811
"CXorf40B",262.875968485938,0.101432223648379,0.147279573329424,0.68870530621041,0.491008736328214,0.848970415750811
"LOC440434",55.5468758974885,-0.223382929074169,0.324470627096659,-0.688453469803982,0.49116726215975,0.848980908810289
"DYNLL2",627.419680684006,-0.0780007410946328,0.113318011670491,-0.688334889968288,0.491241915243029,0.848980908810289
"ST7",290.982294114955,-0.113349352373583,0.164674835150629,-0.688322245896905,0.491249875800079,0.848980908810289
"ASXL2",1003.20098914965,-0.0759096816857684,0.110302899986018,-0.688192982191682,0.491331262666976,0.8490021860593
"LSM11",42.0662175302273,0.219412052059102,0.31891290055018,0.68799992625127,0.491452827809915,0.849092874137148
"SNORA14B",9.91270879866613,-0.450642378164493,0.655842740116668,-0.68711956479739,0.492007386139668,0.849456092223323
"NT5C2",3071.07168659565,0.0683851829735405,0.0994767084961567,0.68744919295538,0.49179970706843,0.849456092223323
"MEIS2",212.505050324104,-0.110986136956888,0.161512191321235,-0.687168789234896,0.491976369764857,0.849456092223323
"TECR",1099.22702642721,0.0720458424914094,0.104902501809501,0.686788601307548,0.492215953853593,0.849456092223323
"PPP1R7",1273.05551340838,-0.0712095779409991,0.103597165690751,-0.687369943629225,0.49184963305299,0.849456092223323
"ABHD14B",649.386945237449,-0.0977986640734135,0.142395121576551,-0.68681190051049,0.492201269529941,0.849456092223323
"LOC155060",42.0395956989648,-0.236965130357311,0.34499401919539,-0.686867357613824,0.492166318633477,0.849456092223323
"EXD3",17.0691517805118,-0.358843758095364,0.522391681144973,-0.68692471769239,0.49213016981985,0.849456092223323
"CCDC159",58.2924144960914,-0.194450238493025,0.283246163153387,-0.686506169503606,0.492393975196865,0.849644019253778
"ZNF491",18.6091463066426,-0.358588076173827,0.522576946203596,-0.686191916384542,0.49259209460368,0.849693651934646
"FKBP8",1827.07962648548,0.106883585797221,0.155730694973529,0.686336022679337,0.492501238160398,0.849693651934646
"ETS2",2689.86915599011,0.0691129687640442,0.100728446148288,0.686131588511743,0.49263013291728,0.849693651934646
"ASAP2",1435.38558068352,-0.0693310429287986,0.101138925416086,-0.685503060701607,0.493026529908732,0.8500819916466
"MFSD9",141.065177439969,0.135119271457007,0.197143335908311,0.685385944366128,0.493100411177249,0.8500819916466
"WDSUB1",51.0942887147898,-0.235910420235825,0.34422593883116,-0.685335977401566,0.493131933971219,0.8500819916466
"CHCHD2",1946.16506923749,0.0746829442898892,0.108953470186109,0.685457233829444,0.493055438469705,0.8500819916466
"STRIP1",495.462844538889,0.08244550751429,0.120415396682187,0.684675795503866,0.493548526046011,0.850300203554645
"SHISA4",143.856567153841,-0.125462688202924,0.183355695321409,-0.684258473580533,0.493811964280616,0.850300203554645
"PLEKHG6",91.778320939811,0.17338068792599,0.253328114144901,0.684411552627034,0.493715323010821,0.850300203554645
"SCARB1",1126.37882904262,0.0788854607677315,0.115264128984724,0.684388642525431,0.493729785883082,0.850300203554645
"HEATR5B",690.423140891134,-0.0815984811392746,0.119152094147875,-0.68482624432942,0.493453572321356,0.850300203554645
"EIF2A",1777.63968784133,0.0749576901616563,0.109515005553882,0.684451320461071,0.493690218592807,0.850300203554645
"B3GNT5",1067.65674279692,-0.108670463170872,0.158759243290864,-0.684498495446821,0.49366043911516,0.850300203554645
"FLNC",59.5617109761064,0.191407761318411,0.27971089496338,0.684305705515939,0.49378214491845,0.850300203554645
"IFIT5",295.283563554889,0.104945181507656,0.153429138319608,0.683997724663258,0.493976602582739,0.850345437303143
"SETBP1",300.167004940149,0.103030390883948,0.15061560658427,0.684061852689232,0.493936109070793,0.850345437303143
"POLR3A",918.611735011749,0.0746860902478043,0.109228703942896,0.683758824849277,0.494127471019067,0.850463720850038
"CTDSP2",1209.83106133501,-0.0745664536425619,0.109150761124313,-0.683151018595624,0.494511419927802,0.850463720850038
